DENOM_CIA,CNPJ_CIA,ANO,ROA,LC,CTPT,ME,ML,Macro
INDUSTRIAS ROMI S.A.,56.720.428/0001-63,2012,-0.02488473288540334,1.6909270171737785,1.403236998585426,-0.046999230157138513,-0.08195915304346701,
INFRACOMMERCE CXAAS S.A.,38.456.921/0001-36,2012,,,,,,
INTER CONSTRUTORA E INCORPORADORA S.A.,09.611.768/0001-76,2012,,,,,,
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,17.314.329/0001-20,2012,0.11057584224555994,0.6899518772314993,0.848414241403363,0.27549159984726995,0.1314623902252768,
INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,03.758.318/0001-24,2012,0.006399575166503753,34.916502033701335,0.004500175849404923,-inf,inf,
IOCHPE MAXION S.A.,61.156.113/0001-75,2012,0.037282478450667234,1.4858410896274217,0.96425888079138,0.0845624718365176,0.0411611603724105,
IRANI PAPEL E EMBALAGEM S.A.,92.791.243/0001-03,2012,0.021443696174339257,1.1047260653016049,1.7097967176139155,0.2495183190144515,0.05704703066107607,
IRB - BRASIL RESSEGUROS S.A.,33.376.989/0001-91,2012,,,,,,
JALLES MACHADO S.A.,02.635.522/0001-95,2012,,,,,,
JBS S.A.,02.916.265/0001-60,2012,0.020011344822394576,1.3529285908701276,0.743113416640519,0.1691593386786715,0.04382212607207368,
JHSF PARTICIPACOES S.A.,08.294.224/0001-65,2012,0.07327601741757288,2.970351137487636,0.8783580545227814,inf,inf,
JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,87.456.562/0001-22,2012,0.033706545922007704,1.99223321012263,1.615372299939634,0.08764420551524968,0.03691045796308954,
JSL S.A.,52.548.435/0001-79,2012,0.019511539885887885,1.0513265759993873,3.1932014743333967,0.22741329145805572,0.0325946859836517,
KARSTEN S.A.,82.640.558/0001-04,2012,-0.006088989508885634,1.286281405897403,10.149833640388264,0.12442312178596424,-0.008347617936728505,
KEPLER WEBER S.A.,91.983.056/0001-69,2012,0.07308405799810287,0.4945707934336525,0.33348910967589174,15.804760133878766,11.632949051692078,
KLABIN S.A.,89.637.490/0001-45,2012,0.054450799747139574,2.3979550659396907,1.5475357416202893,0.45549199095999543,0.1861789837719637,
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,26.462.693/0001-28,2012,,,,,,
LOCALIZA RENT A CAR S.A.,16.670.085/0001-55,2012,0.06560542801758257,1.8657441227111256,1.7722156507665958,0.26601340824904146,0.10579414104831641,
LOCAWEB SERVIÇOS DE INTERNET S.A.,02.351.877/0001-52,2012,,,,,,
LOG-IN LOGISTICA INTERMODAL S.A.,42.278.291/0001-24,2012,-0.013475099839203046,1.1793238741406042,2.4677936972469974,0.13663519802309837,-0.04586567131051117,
LOJAS RENNER S.A.,92.754.738/0001-62,2012,0.11154937693853377,1.6217289058171505,1.440134397093322,0.18795642964009027,0.09749263046666305,
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,07.206.816/0001-15,2012,0.14709226472236744,2.3502239304006625,0.3209678623573135,0.22377821461636827,0.1836933722488286,
MAGAZINE LUIZA S.A.,47.960.950/0001-21,2012,-0.0016439286995585643,1.1997191360041013,5.66076182807569,0.034974123529915135,-0.00100380612924469,
MAHLE-METAL LEVE S.A.,60.476.884/0001-87,2012,0.08338471948744464,1.7295453579473812,0.5927617339223767,0.18493238157605138,0.09737161738052992,
MANGELS INDUSTRIAL S.A.,61.065.298/0001-02,2012,-0.2257657083939835,0.9883140604735487,23.24616742031543,0.1263847740039345,-0.35291175843189304,
MANUFATURA DE BRINQUEDOS ESTRELA S.A.,61.082.004/0001-50,2012,-0.09173754328569875,0.08665841083704003,-2.248556077590043,-0.3987783043707214,-0.5150500263296471,
MARCOPOLO S.A.,88.611.835/0001-29,2012,0.12395434396142144,1.4770485926256676,0.8369175144719888,0.14255269704610907,0.12217310742821244,
MARFRIG GLOBAL FOODS S.A.,03.853.896/0001-40,2012,-0.014877310131935778,1.4274902651729389,2.621038544953393,0.2013420793928204,-0.04930823737508985,
MARISA LOJAS S.A.,61.189.288/0001-89,2012,0.10324271967603788,2.1063435768961414,1.1432357858002846,0.18391096550574848,0.09749236412855657,
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,12.181.987/0001-77,2012,,,,,,
METALFRIO SOLUTIONS S.A.,04.821.041/0001-08,2012,0.022728269238526687,1.6351447733927276,1.1671018574474636,0.05404534399127386,0.03569510283792457,
METALURGICA GERDAU S.A.,92.690.783/0001-09,2012,0.034523017927847933,0.049148461705444714,0.3274960879274369,inf,inf,
METALURGICA RIOSULENSE S.A.,85.778.074/0001-06,2012,-0.085377772896991,0.3855906587718935,27.205048784265138,0.07843800572353322,-0.1421648853007598,
METISA METALURGICA TIMBOENSE S.A.,86.375.425/0001-09,2012,0.08514286096075822,2.578402390998213,0.46683329127401496,0.1376587997786397,0.09929012130156196,
MINERVA S.A.,67.620.377/0001-14,2012,-0.04794395011947948,2.3744752406355096,4.384297416240961,0.08961406742539212,-0.05164072427275804,
MINUPAR PARTICIPACOES S.A.,90.076.886/0001-40,2012,-8.863474156786003,12.887336244541485,-1.1422893177909421,-inf,-inf,
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,07.882.930/0001-65,2012,,,,,,
MOBLY S.A.,31.553.627/0001-01,2012,,,,,,
MOURA DUBEUX ENGENHARIA S/A,12.049.631/0001-84,2012,0.06767945786830493,1.204384308849692,2.5295236592319945,1.90485331155129,1.5249608603907154,
MOVIDA PARTICIPACOES SA,21.314.559/0001-66,2012,,,,,,
MPM CORPÓREOS S.A.,26.659.061/0001-59,2012,,,,,,
MRV ENGENHARIA E PARTICIPACOES S.A.,08.343.492/0001-20,2012,0.06111038328386618,1.6686745734100814,1.2708664934253253,0.23773499331946835,0.21556093993241834,
MULTILASER INDUSTRIAL S.A.,59.717.553/0001-02,2012,,,,,,
MUNDIAL S.A. - PRODUTOS DE CONSUMO,88.610.191/0001-54,2012,-0.0070977284433670264,0.39931971510721065,25.610959162501178,-0.0007625856900190042,-0.02424134828377871,
MÉLIUZ S.A.,14.110.585/0001-07,2012,,,,,,
NATURA &CO HOLDING S.A.,32.785.497/0001-97,2012,,,,,,
NATURA COSMETICOS S.A.,71.673.990/0001-77,2012,0.19297747540731616,1.2176164189446965,2.4169088642795016,0.21712887292637675,0.13781567416418977,
NEOENERGIA S.A.,01.083.200/0001-18,2012,0.10704436463781115,16.654434267476937,0.024235498784986587,404.47204529370134,447.44692144373676,
NUTRIPLANT INDUSTRIA E COMERCIO S.A.,51.128.999/0001-90,2012,0.10775604398659827,0.5454996964847415,1.2051871608571691,1.1645421815704973,0.7542084265836334,
OCEÂNICA ENGENHARIA E CONSULTORIA S.A.,29.980.141/0001-08,2012,,,,,,
ODONTOPREV S.A.,58.119.199/0001-51,2012,0.14813435341958883,1.605059861820935,0.4037767870025271,0.21618187481869144,0.15582205161526513,
OMEGA ENERGIA S.A.,42.500.384/0001-51,2012,,,,,,
OSX BRASIL S.A.,09.112.685/0001-32,2012,-0.008030369886753305,12.058418604651163,0.008263062710727315,-inf,-inf,
PADTEC HOLDING S.A.,02.365.069/0001-44,2012,-0.1421794948171095,4.020560325350203,0.12882156636937536,-inf,-inf,
PBG S/A,83.475.913/0001-91,2012,0.08931908885388527,1.096853563298105,4.78325820687702,0.19180153118550877,0.09956799885972321,
